ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1,Two Sum,45.6%,Easy,0.1532849790864647, https://leetcode.com/problems/two-sum
2,Add Two Numbers,33.9%,Medium,0.10270361758692534, https://leetcode.com/problems/add-two-numbers
21,Merge Two Sorted Lists,53.5%,Easy,0.09110919511165776, https://leetcode.com/problems/merge-two-sorted-lists
37,Sudoku Solver,43.6%,Hard,0.040527833612118376, https://leetcode.com/problems/sudoku-solver
706,Design HashMap,61.3%,Easy,0.039016652342451774, https://leetcode.com/problems/design-hashmap
15,3Sum,26.8%,Medium,0.0346167609048592, https://leetcode.com/problems/3sum
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.031039352871947277, https://leetcode.com/problems/longest-substring-without-repeating-characters
368,Largest Divisible Subset,38.0%,Medium,0.030351343424138456, https://leetcode.com/problems/largest-divisible-subset
219,Contains Duplicate II,37.7%,Easy,0.028500979167549973, https://leetcode.com/problems/contains-duplicate-ii
115,Distinct Subsequences,38.3%,Hard,0.027798871362742988, https://leetcode.com/problems/distinct-subsequences
343,Integer Break,50.4%,Medium,0.027157133968907482, https://leetcode.com/problems/integer-break
22,Generate Parentheses,62.7%,Medium,0.026949997964496694, https://leetcode.com/problems/generate-parentheses
202,Happy Number,50.4%,Easy,0.02483442856330386, https://leetcode.com/problems/happy-number
206,Reverse Linked List,62.5%,Easy,0.02086427467076072, https://leetcode.com/problems/reverse-linked-list
525,Contiguous Array,42.8%,Medium,0.01975372873623256, https://leetcode.com/problems/contiguous-array
12,Integer to Roman,55.1%,Medium,0.019096697456456382, https://leetcode.com/problems/integer-to-roman
993,Cousins in Binary Tree,52.0%,Easy,0.017414458368636587, https://leetcode.com/problems/cousins-in-binary-tree
994,Rotting Oranges,49.2%,Medium,0.017087941897195622, https://leetcode.com/problems/rotting-oranges
7,Reverse Integer,25.8%,Easy,0.016627790608488954, https://leetcode.com/problems/reverse-integer
315,Count of Smaller Numbers After Self,41.5%,Hard,0.014352596574956585, https://leetcode.com/problems/count-of-smaller-numbers-after-self
5,Longest Palindromic Substring,29.5%,Medium,0.01416133329402493, https://leetcode.com/problems/longest-palindromic-substring
76,Minimum Window Substring,34.6%,Hard,0.013966707481708198, https://leetcode.com/problems/minimum-window-substring
703,Kth Largest Element in a Stream,49.7%,Easy,0.013898764390814973, https://leetcode.com/problems/kth-largest-element-in-a-stream
82,Remove Duplicates from Sorted List II,36.8%,Medium,0.01297035044262745, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
137,Single Number II,52.4%,Medium,0.012527567532662891, https://leetcode.com/problems/single-number-ii
11,Container With Most Water,50.8%,Medium,0.012214824746492168, https://leetcode.com/problems/container-with-most-water
300,Longest Increasing Subsequence,42.6%,Medium,0.011806512586989004, https://leetcode.com/problems/longest-increasing-subsequence
987,Vertical Order Traversal of a Binary Tree,36.6%,Medium,0.011601058182762062, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
200,Number of Islands,46.8%,Medium,0.011509262420590827, https://leetcode.com/problems/number-of-islands
55,Jump Game,34.6%,Medium,0.011265609194218986, https://leetcode.com/problems/jump-game
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.010575891759058162, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
25,Reverse Nodes in k-Group,42.1%,Hard,0.01021198560502829, https://leetcode.com/problems/reverse-nodes-in-k-group
739,Daily Temperatures,63.3%,Medium,0.010032690121814417, https://leetcode.com/problems/daily-temperatures
61,Rotate List,30.0%,Medium,0.009925639799969955, https://leetcode.com/problems/rotate-list
18,4Sum,33.7%,Medium,0.00984259914419414, https://leetcode.com/problems/4sum
113,Path Sum II,46.7%,Medium,0.009784813879998279, https://leetcode.com/problems/path-sum-ii
560,Subarray Sum Equals K,43.9%,Medium,0.009603146783199741, https://leetcode.com/problems/subarray-sum-equals-k
45,Jump Game II,30.6%,Hard,0.009546611883579968, https://leetcode.com/problems/jump-game-ii
