ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1,Two Sum,45.6%,Easy,2.4883960324530268, https://leetcode.com/problems/two-sum
2,Add Two Numbers,33.9%,Medium,2.269636101391722, https://leetcode.com/problems/add-two-numbers
4,Median of Two Sorted Arrays,29.6%,Hard,2.050876170330417, https://leetcode.com/problems/median-of-two-sorted-arrays
741,Cherry Pickup,33.9%,Hard,1.8321162392691122, https://leetcode.com/problems/cherry-pickup
3,Longest Substring Without Repeating Characters,30.4%,Medium,1.8014105894541743, https://leetcode.com/problems/longest-substring-without-repeating-characters
7,Reverse Integer,25.8%,Easy,1.73297236373911, https://leetcode.com/problems/reverse-integer
175,Combine Two Tables,60.8%,Easy,1.6956988952705778, https://leetcode.com/problems/combine-two-tables
21,Merge Two Sorted Lists,53.5%,Easy,1.5676206155174264, https://leetcode.com/problems/merge-two-sorted-lists
5,Longest Palindromic Substring,29.5%,Medium,1.5174071915824883, https://leetcode.com/problems/longest-palindromic-substring
15,3Sum,26.8%,Medium,1.4894785973551214, https://leetcode.com/problems/3sum
13,Roman to Integer,55.7%,Easy,1.4339144225059055, https://leetcode.com/problems/roman-to-integer
6,ZigZag Conversion,36.3%,Medium,1.2151544914446004, https://leetcode.com/problems/zigzag-conversion
195,Tenth Line,33.0%,Easy,1.1862816902916034, https://leetcode.com/problems/tenth-line
53,Maximum Subarray,46.5%,Easy,1.1698468033916782, https://leetcode.com/problems/maximum-subarray
192,Word Frequency,25.8%,Medium,1.1542304443345712, https://leetcode.com/problems/word-frequency
11,Container With Most Water,50.8%,Medium,1.1498172467169137, https://leetcode.com/problems/container-with-most-water
146,LRU Cache,33.2%,Medium,1.1414840541705635, https://leetcode.com/problems/lru-cache
14,Longest Common Prefix,35.4%,Easy,1.0701063949652634, https://leetcode.com/problems/longest-common-prefix
9,Palindrome Number,48.4%,Easy,1.0389585830023096, https://leetcode.com/problems/palindrome-number
292,Nim Game,54.9%,Easy,1.0340435601569165, https://leetcode.com/problems/nim-game
206,Reverse Linked List,62.5%,Easy,0.9491844552172142, https://leetcode.com/problems/reverse-linked-list
22,Generate Parentheses,62.7%,Medium,0.9146285119909732, https://leetcode.com/problems/generate-parentheses
312,Burst Balloons,51.8%,Hard,0.8978937096587362, https://leetcode.com/problems/burst-balloons
771,Jewels and Stones,86.4%,Easy,0.8045122974235372, https://leetcode.com/problems/jewels-and-stones
18,4Sum,33.7%,Medium,0.7870176048739561, https://leetcode.com/problems/4sum
344,Reverse String,68.5%,Easy,0.7803563983565922, https://leetcode.com/problems/reverse-string
20,Valid Parentheses,39.0%,Easy,0.7728842221115333, https://leetcode.com/problems/valid-parentheses
23,Merge k Sorted Lists,40.2%,Hard,0.744432863023671, https://leetcode.com/problems/merge-k-sorted-lists
42,Trapping Rain Water,48.9%,Hard,0.7166320474707057, https://leetcode.com/problems/trapping-rain-water
274,H-Index,36.1%,Medium,0.7105315488308892, https://leetcode.com/problems/h-index
595,Big Countries,77.3%,Easy,0.6960898016141428, https://leetcode.com/problems/big-countries
76,Minimum Window Substring,34.6%,Hard,0.641927908156958, https://leetcode.com/problems/minimum-window-substring
10,Regular Expression Matching,26.8%,Hard,0.6273817982285409, https://leetcode.com/problems/regular-expression-matching
386,Lexicographical Numbers,51.6%,Medium,0.626946543403964, https://leetcode.com/problems/lexicographical-numbers
214,Shortest Palindrome,29.8%,Hard,0.6257058997644127, https://leetcode.com/problems/shortest-palindrome
561,Array Partition I,72.0%,Easy,0.6209795294618357, https://leetcode.com/problems/array-partition-i
12,Integer to Roman,55.1%,Medium,0.618907369249803, https://leetcode.com/problems/integer-to-roman
88,Merge Sorted Array,39.4%,Easy,0.5992604670982806, https://leetcode.com/problems/merge-sorted-array
177,Nth Highest Salary,31.4%,Medium,0.5957174923400869, https://leetcode.com/problems/nth-highest-salary
8,String to Integer (atoi),15.4%,Medium,0.5871742950115802, https://leetcode.com/problems/string-to-integer-atoi
46,Permutations,63.5%,Medium,0.5710040142718329, https://leetcode.com/problems/permutations
201,Bitwise AND of Numbers Range,39.4%,Medium,0.5616591289700842, https://leetcode.com/problems/bitwise-and-of-numbers-range
176,Second Highest Salary,31.6%,Easy,0.5550999082992657, https://leetcode.com/problems/second-highest-salary
54,Spiral Matrix,34.1%,Medium,0.5477790799646545, https://leetcode.com/problems/spiral-matrix
238,Product of Array Except Self,60.1%,Medium,0.5410045911404007, https://leetcode.com/problems/product-of-array-except-self
315,Count of Smaller Numbers After Self,41.5%,Hard,0.5355270510063105, https://leetcode.com/problems/count-of-smaller-numbers-after-self
85,Maximal Rectangle,37.7%,Hard,0.505442030682518, https://leetcode.com/problems/maximal-rectangle
41,First Missing Positive,32.0%,Hard,0.4966396105083198, https://leetcode.com/problems/first-missing-positive
38,Count and Say,44.6%,Easy,0.4926620533465078, https://leetcode.com/problems/count-and-say
322,Coin Change,35.5%,Medium,0.48915086353512044, https://leetcode.com/problems/coin-change
237,Delete Node in a Linked List,63.8%,Easy,0.4849621131760714, https://leetcode.com/problems/delete-node-in-a-linked-list
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.47900593564253346, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
32,Longest Valid Parentheses,28.4%,Hard,0.4610968040943131, https://leetcode.com/problems/longest-valid-parentheses
420,Strong Password Checker,14.0%,Hard,0.4491177382659011, https://leetcode.com/problems/strong-password-checker
136,Single Number,65.5%,Easy,0.44677265180412157, https://leetcode.com/problems/single-number
148,Sort List,42.3%,Medium,0.4396170196774987, https://leetcode.com/problems/sort-list
82,Remove Duplicates from Sorted List II,36.8%,Medium,0.4392651170596573, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
16,3Sum Closest,46.0%,Medium,0.43554023176972845, https://leetcode.com/problems/3sum-closest
45,Jump Game II,30.6%,Hard,0.4315020818911597, https://leetcode.com/problems/jump-game-ii
535,Encode and Decode TinyURL,79.9%,Medium,0.4221173972425086, https://leetcode.com/problems/encode-and-decode-tinyurl
96,Unique Binary Search Trees,52.9%,Medium,0.42021191912831435, https://leetcode.com/problems/unique-binary-search-trees
92,Reverse Linked List II,38.8%,Medium,0.414508648004485, https://leetcode.com/problems/reverse-linked-list-ii
30,Substring with Concatenation of All Words,25.4%,Hard,0.41194709630297865, https://leetcode.com/problems/substring-with-concatenation-of-all-words
33,Search in Rotated Sorted Array,34.5%,Medium,0.40912496149364885, https://leetcode.com/problems/search-in-rotated-sorted-array
64,Minimum Path Sum,54.5%,Medium,0.4040299464061684, https://leetcode.com/problems/minimum-path-sum
279,Perfect Squares,47.4%,Medium,0.3741145782240884, https://leetcode.com/problems/perfect-squares
24,Swap Nodes in Pairs,50.4%,Medium,0.3722036149739704, https://leetcode.com/problems/swap-nodes-in-pairs
343,Integer Break,50.4%,Medium,0.3649680588757168, https://leetcode.com/problems/integer-break
31,Next Permutation,32.6%,Medium,0.3605125693237505, https://leetcode.com/problems/next-permutation
131,Palindrome Partitioning,47.5%,Medium,0.35313350367645147, https://leetcode.com/problems/palindrome-partitioning
141,Linked List Cycle,41.1%,Easy,0.3531074716115724, https://leetcode.com/problems/linked-list-cycle
200,Number of Islands,46.8%,Medium,0.348349251262677, https://leetcode.com/problems/number-of-islands
71,Simplify Path,32.6%,Medium,0.3434734320801965, https://leetcode.com/problems/simplify-path
138,Copy List with Random Pointer,36.4%,Medium,0.33465187471019453, https://leetcode.com/problems/copy-list-with-random-pointer
74,Search a 2D Matrix,36.5%,Medium,0.3339887638543654, https://leetcode.com/problems/search-a-2d-matrix
155,Min Stack,44.5%,Easy,0.32611635610879774, https://leetcode.com/problems/min-stack
26,Remove Duplicates from Sorted Array,45.1%,Easy,0.32413298661344175, https://leetcode.com/problems/remove-duplicates-from-sorted-array
169,Majority Element,58.7%,Easy,0.32361893795459934, https://leetcode.com/problems/majority-element
37,Sudoku Solver,43.6%,Hard,0.31644637012330246, https://leetcode.com/problems/sudoku-solver
48,Rotate Image,56.7%,Medium,0.31414864563994416, https://leetcode.com/problems/rotate-image
152,Maximum Product Subarray,31.7%,Medium,0.3065980377658154, https://leetcode.com/problems/maximum-product-subarray
706,Design HashMap,61.3%,Easy,0.30607943759149703, https://leetcode.com/problems/design-hashmap
378,Kth Smallest Element in a Sorted Matrix,54.3%,Medium,0.303069224638031, https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix
115,Distinct Subsequences,38.3%,Hard,0.29662714656570494, https://leetcode.com/problems/distinct-subsequences
44,Wildcard Matching,24.7%,Hard,0.29635426006094184, https://leetcode.com/problems/wildcard-matching
198,House Robber,42.0%,Easy,0.29249400591952035, https://leetcode.com/problems/house-robber
329,Longest Increasing Path in a Matrix,43.4%,Hard,0.29062882263712253, https://leetcode.com/problems/longest-increasing-path-in-a-matrix
78,Subsets,62.0%,Medium,0.28775134131891633, https://leetcode.com/problems/subsets
234,Palindrome Linked List,39.3%,Easy,0.2838977996794123, https://leetcode.com/problems/palindrome-linked-list
139,Word Break,40.1%,Medium,0.2746475346554156, https://leetcode.com/problems/word-break
25,Reverse Nodes in k-Group,42.1%,Hard,0.2704051213089347, https://leetcode.com/problems/reverse-nodes-in-k-group
929,Unique Email Addresses,67.4%,Easy,0.26920579628420777, https://leetcode.com/problems/unique-email-addresses
204,Count Primes,31.5%,Easy,0.2622550703201888, https://leetcode.com/problems/count-primes
543,Diameter of Binary Tree,48.4%,Easy,0.26178095627491565, https://leetcode.com/problems/diameter-of-binary-tree
197,Rising Temperature,38.4%,Easy,0.2576203889657197, https://leetcode.com/problems/rising-temperature
448,Find All Numbers Disappeared in an Array,55.9%,Easy,0.2554000407912253, https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array
446,Arithmetic Slices II - Subsequence,32.7%,Hard,0.25416851512733507, https://leetcode.com/problems/arithmetic-slices-ii-subsequence
101,Symmetric Tree,46.8%,Easy,0.24399082697231922, https://leetcode.com/problems/symmetric-tree
70,Climbing Stairs,47.8%,Easy,0.24304459408434126, https://leetcode.com/problems/climbing-stairs
389,Find the Difference,55.3%,Easy,0.2421400520048648, https://leetcode.com/problems/find-the-difference
1096,Brace Expansion II,62.2%,Hard,0.2363887780642304, https://leetcode.com/problems/brace-expansion-ii
51,N-Queens,46.6%,Hard,0.2346473757956944, https://leetcode.com/problems/n-queens
137,Single Number II,52.4%,Medium,0.22735779159844866, https://leetcode.com/problems/single-number-ii
56,Merge Intervals,39.3%,Medium,0.22422141863227835, https://leetcode.com/problems/merge-intervals
19,Remove Nth Node From End of List,35.2%,Medium,0.22280456303687612, https://leetcode.com/problems/remove-nth-node-from-end-of-list
49,Group Anagrams,56.9%,Medium,0.21827224887849583, https://leetcode.com/problems/group-anagrams
795,Number of Subarrays with Bounded Maximum,46.3%,Medium,0.2171959803892134, https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum
268,Missing Number,51.7%,Easy,0.2148904095574893, https://leetcode.com/problems/missing-number
105,Construct Binary Tree from Preorder and Inorder Traversal,48.8%,Medium,0.2138725437818616, https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
81,Search in Rotated Sorted Array II,33.0%,Medium,0.21357410029805904, https://leetcode.com/problems/search-in-rotated-sorted-array-ii
142,Linked List Cycle II,37.3%,Medium,0.21278213647158528, https://leetcode.com/problems/linked-list-cycle-ii
143,Reorder List,37.1%,Medium,0.21178045827645292, https://leetcode.com/problems/reorder-list
229,Majority Element II,35.6%,Medium,0.21162970925187066, https://leetcode.com/problems/majority-element-ii
124,Binary Tree Maximum Path Sum,34.3%,Hard,0.21055599204217199, https://leetcode.com/problems/binary-tree-maximum-path-sum
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.2082667520997665, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
240,Search a 2D Matrix II,43.2%,Medium,0.20722300789490636, https://leetcode.com/problems/search-a-2d-matrix-ii
128,Longest Consecutive Sequence,45.1%,Hard,0.20483650886956722, https://leetcode.com/problems/longest-consecutive-sequence
220,Contains Duplicate III,20.9%,Medium,0.20432784239539936, https://leetcode.com/problems/contains-duplicate-iii
202,Happy Number,50.4%,Easy,0.2040083108839691, https://leetcode.com/problems/happy-number
728,Self Dividing Numbers,74.3%,Easy,0.20271151249700387, https://leetcode.com/problems/self-dividing-numbers
395,Longest Substring with At Least K Repeating Characters,41.4%,Medium,0.19944370144318244, https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters
836,Rectangle Overlap,48.6%,Easy,0.19944370144318244, https://leetcode.com/problems/rectangle-overlap
65,Valid Number,15.3%,Hard,0.18904265746703205, https://leetcode.com/problems/valid-number
178,Rank Scores,45.8%,Medium,0.18843907402659216, https://leetcode.com/problems/rank-scores
219,Contains Duplicate II,37.7%,Easy,0.18696862869341266, https://leetcode.com/problems/contains-duplicate-ii
29,Divide Two Integers,16.4%,Medium,0.18695459519599733, https://leetcode.com/problems/divide-two-integers
199,Binary Tree Right Side View,54.1%,Medium,0.18661020557359304, https://leetcode.com/problems/binary-tree-right-side-view
739,Daily Temperatures,63.3%,Medium,0.1858025928756317, https://leetcode.com/problems/daily-temperatures
72,Edit Distance,44.8%,Hard,0.18554648786569794, https://leetcode.com/problems/edit-distance
181,Employees Earning More Than Their Managers,56.9%,Easy,0.18496356625679328, https://leetcode.com/problems/employees-earning-more-than-their-managers
61,Rotate List,30.0%,Medium,0.18398268674403112, https://leetcode.com/problems/rotate-list
50,Pow(x;n),30.3%,Medium,0.18397417464169494, https://leetcode.com/problems/powx-n
221,Maximal Square,37.7%,Medium,0.1833146055349465, https://leetcode.com/problems/maximal-square
239,Sliding Window Maximum,43.0%,Hard,0.18086662630782, https://leetcode.com/problems/sliding-window-maximum
112,Path Sum,41.2%,Easy,0.18019396942949986, https://leetcode.com/problems/path-sum
368,Largest Divisible Subset,38.0%,Medium,0.17613915688563714, https://leetcode.com/problems/largest-divisible-subset
415,Add Strings,47.5%,Easy,0.17429245611868044, https://leetcode.com/problems/add-strings
300,Longest Increasing Subsequence,42.6%,Medium,0.17397326740248337, https://leetcode.com/problems/longest-increasing-subsequence
122,Best Time to Buy and Sell Stock II,57.0%,Easy,0.17312279156285693, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
725,Split Linked List in Parts,52.2%,Medium,0.17265583404226165, https://leetcode.com/problems/split-linked-list-in-parts
856,Score of Parentheses,60.5%,Medium,0.17135825199668508, https://leetcode.com/problems/score-of-parentheses
560,Subarray Sum Equals K,43.9%,Medium,0.1665261146132014, https://leetcode.com/problems/subarray-sum-equals-k
91,Decode Ways,24.7%,Medium,0.1664322442258041, https://leetcode.com/problems/decode-ways
412,Fizz Buzz,62.3%,Easy,0.16533767872713678, https://leetcode.com/problems/fizz-buzz
1010,Pairs of Songs With Total Durations Divisible by 60,47.4%,Easy,0.15765117803680806, https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
28,Implement strStr(),34.5%,Easy,0.15437642620216585, https://leetcode.com/problems/implement-strstr
62,Unique Paths,54.1%,Medium,0.15421684583780285, https://leetcode.com/problems/unique-paths
218,The Skyline Problem,34.6%,Hard,0.14953173397096375, https://leetcode.com/problems/the-skyline-problem
217,Contains Duplicate,56.0%,Easy,0.149082410987406, https://leetcode.com/problems/contains-duplicate
83,Remove Duplicates from Sorted List,45.4%,Easy,0.14784842578508967, https://leetcode.com/problems/remove-duplicates-from-sorted-list
168,Excel Sheet Column Title,31.1%,Easy,0.14624550032014502, https://leetcode.com/problems/excel-sheet-column-title
95,Unique Binary Search Trees II,40.6%,Medium,0.14236392393156927, https://leetcode.com/problems/unique-binary-search-trees-ii
55,Jump Game,34.6%,Medium,0.14177401548857888, https://leetcode.com/problems/jump-game
375,Guess Number Higher or Lower II,40.3%,Medium,0.1391128024627178, https://leetcode.com/problems/guess-number-higher-or-lower-ii
554,Brick Wall,50.0%,Medium,0.1384696742651052, https://leetcode.com/problems/brick-wall
726,Number of Atoms,49.0%,Hard,0.13804422079620546, https://leetcode.com/problems/number-of-atoms
125,Valid Palindrome,36.7%,Easy,0.13416684727631417, https://leetcode.com/problems/valid-palindrome
987,Vertical Order Traversal of a Binary Tree,36.6%,Medium,0.13360431878681564, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
110,Balanced Binary Tree,43.5%,Easy,0.13348731548952925, https://leetcode.com/problems/balanced-binary-tree
35,Search Insert Position,42.6%,Easy,0.13181240319984847, https://leetcode.com/problems/search-insert-position
1190,Reverse Substrings Between Each Pair of Parentheses,61.5%,Medium,0.1304306149462744, https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses
287,Find the Duplicate Number,55.5%,Medium,0.1291950147327505, https://leetcode.com/problems/find-the-duplicate-number
278,First Bad Version,35.7%,Easy,0.1267677952000762, https://leetcode.com/problems/first-bad-version
84,Largest Rectangle in Histogram,35.2%,Hard,0.12570469475928556, https://leetcode.com/problems/largest-rectangle-in-histogram
224,Basic Calculator,36.8%,Hard,0.12435274487954455, https://leetcode.com/problems/basic-calculator
235,Lowest Common Ancestor of a Binary Search Tree,49.9%,Easy,0.12399764165657076, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree
107,Binary Tree Level Order Traversal II,53.5%,Easy,0.122658088838636, https://leetcode.com/problems/binary-tree-level-order-traversal-ii
1114,Print in Order,65.7%,Easy,0.12136085700426744, https://leetcode.com/problems/print-in-order
