ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
736,Parse Lisp Expression,47.5%,Hard,1.0065947176467498, https://leetcode.com/problems/parse-lisp-expression
381,Insert Delete GetRandom O(1) - Duplicates allowed,34.1%,Hard,0.6946505634539769, https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed
695,Max Area of Island,62.7%,Medium,0.5227168031344483, https://leetcode.com/problems/max-area-of-island
380,Insert Delete GetRandom O(1),47.5%,Medium,0.2107726489416756, https://leetcode.com/problems/insert-delete-getrandom-o1
362,Design Hit Counter,63.7%,Medium,0.14310084364067333, https://leetcode.com/problems/design-hit-counter
49,Group Anagrams,56.9%,Medium,0.08712516204977415, https://leetcode.com/problems/group-anagrams
42,Trapping Rain Water,48.9%,Hard,0.08028083126080282, https://leetcode.com/problems/trapping-rain-water
127,Word Ladder,29.6%,Medium,0.06804400933142625, https://leetcode.com/problems/word-ladder
200,Number of Islands,46.8%,Medium,0.05455898425043439, https://leetcode.com/problems/number-of-islands
1,Two Sum,45.6%,Easy,0.04327015683483566, https://leetcode.com/problems/two-sum
322,Coin Change,35.5%,Medium,0.023903996947661692, https://leetcode.com/problems/coin-change
230,Kth Smallest Element in a BST,60.2%,Medium,0.006085520073802784, https://leetcode.com/problems/kth-smallest-element-in-a-bst
