ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
713,Subarray Product Less Than K,39.1%,Medium,1.072475096007634, https://leetcode.com/problems/subarray-product-less-than-k
1223,Dice Roll Simulation,45.6%,Medium,0.8403614163905465, https://leetcode.com/problems/dice-roll-simulation
995,Minimum Number of K Consecutive Bit Flips,46.8%,Hard,0.6082477367734591, https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips
324,Wiggle Sort II,29.9%,Medium,0.46724246780440754, https://leetcode.com/problems/wiggle-sort-ii
1411,Number of Ways to Paint N × 3 Grid,61.1%,Hard,0.35534072092559577, https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid
1177,Can Make Palindrome from Substring,34.6%,Medium,0.24991141156531438, https://leetcode.com/problems/can-make-palindrome-from-substring
1319,Number of Operations to Make Network Connected,53.1%,Medium,0.10041874774704733, https://leetcode.com/problems/number-of-operations-to-make-network-connected
20,Valid Parentheses,39.0%,Easy,0.06735240264428982, https://leetcode.com/problems/valid-parentheses
48,Rotate Image,56.7%,Medium,0.04495138786226632, https://leetcode.com/problems/rotate-image
443,String Compression,41.3%,Easy,0.031026273563100573, https://leetcode.com/problems/string-compression
743,Network Delay Time,45.0%,Medium,0.02844692450205361, https://leetcode.com/problems/network-delay-time
1048,Longest String Chain,54.7%,Medium,0.019361689049145963, https://leetcode.com/problems/longest-string-chain
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.013201163302846108, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
152,Maximum Product Subarray,31.7%,Medium,0.012534983069696118, https://leetcode.com/problems/maximum-product-subarray
39,Combination Sum,56.1%,Medium,0.005715934396440999, https://leetcode.com/problems/combination-sum
15,3Sum,26.8%,Medium,0.004940992758742591, https://leetcode.com/problems/3sum
677,Map Sum Pairs,53.5%,Medium,0, https://leetcode.com/problems/map-sum-pairs
740,Delete and Earn,48.6%,Medium,0, https://leetcode.com/problems/delete-and-earn
741,Cherry Pickup,33.9%,Hard,0, https://leetcode.com/problems/cherry-pickup
1425,Constrained Subsequence Sum,44.1%,Hard,0, https://leetcode.com/problems/constrained-subsequence-sum
1326,Minimum Number of Taps to Open to Water a Garden,43.6%,Hard,0, https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden
1338,Reduce Array Size to The Half,67.0%,Medium,0, https://leetcode.com/problems/reduce-array-size-to-the-half
1370,Increasing Decreasing String,75.7%,Easy,0, https://leetcode.com/problems/increasing-decreasing-string
