ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
937,Reorder Data in Log Files,54.3%,Easy,3.9944355947998136, https://leetcode.com/problems/reorder-data-in-log-files
1192,Critical Connections in a Network,48.6%,Hard,3.925598813161921, https://leetcode.com/problems/critical-connections-in-a-network
200,Number of Islands,46.8%,Medium,3.7781578407565197, https://leetcode.com/problems/number-of-islands
994,Rotting Oranges,49.2%,Medium,3.6307168683511186, https://leetcode.com/problems/rotting-oranges
819,Most Common Word,44.8%,Easy,3.4832758959457175, https://leetcode.com/problems/most-common-word
138,Copy List with Random Pointer,36.4%,Medium,3.452672602379887, https://leetcode.com/problems/copy-list-with-random-pointer
763,Partition Labels,76.1%,Medium,3.305231629974486, https://leetcode.com/problems/partition-labels
692,Top K Frequent Words,51.8%,Medium,3.256820919958484, https://leetcode.com/problems/top-k-frequent-words
146,LRU Cache,33.2%,Medium,3.109379947553083, https://leetcode.com/problems/lru-cache
1,Two Sum,45.6%,Easy,2.9619389751476817, https://leetcode.com/problems/two-sum
572,Subtree of Another Tree,44.1%,Easy,2.945568993322194, https://leetcode.com/problems/subtree-of-another-tree
240,Search a 2D Matrix II,43.2%,Medium,2.798128020916793, https://leetcode.com/problems/search-a-2d-matrix-ii
5,Longest Palindromic Substring,29.5%,Medium,2.7358200747627843, https://leetcode.com/problems/longest-palindromic-substring
21,Merge Two Sorted Lists,53.5%,Easy,2.678307039145778, https://leetcode.com/problems/merge-two-sorted-lists
472,Concatenated Words,43.7%,Hard,2.636650106787832, https://leetcode.com/problems/concatenated-words
973,K Closest Points to Origin,63.8%,Medium,2.6240138122465444, https://leetcode.com/problems/k-closest-points-to-origin
23,Merge k Sorted Lists,40.2%,Hard,2.5524109933277668, https://leetcode.com/problems/merge-k-sorted-lists
1167,Minimum Cost to Connect Sticks,62.8%,Medium,2.423130930639536, https://leetcode.com/problems/minimum-cost-to-connect-sticks
957,Prison Cells After N Days,40.7%,Medium,2.42269136604331, https://leetcode.com/problems/prison-cells-after-n-days
295,Find Median from Data Stream,44.3%,Hard,2.3279113755186978, https://leetcode.com/problems/find-median-from-data-stream
