ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
937,Reorder Data in Log Files,54.3%,Easy,3.9547702430822818, https://leetcode.com/problems/reorder-data-in-log-files
200,Number of Islands,46.8%,Medium,3.6590323855166846, https://leetcode.com/problems/number-of-islands
1192,Critical Connections in a Network,48.6%,Hard,3.3632945279510875, https://leetcode.com/problems/critical-connections-in-a-network
763,Partition Labels,76.1%,Medium,3.1678101129592746, https://leetcode.com/problems/partition-labels
994,Rotting Oranges,49.2%,Medium,2.8720722553936775, https://leetcode.com/problems/rotting-oranges
692,Top K Frequent Words,51.8%,Medium,2.7214375224426046, https://leetcode.com/problems/top-k-frequent-words
819,Most Common Word,44.8%,Easy,2.4256996648770075, https://leetcode.com/problems/most-common-word
146,LRU Cache,33.2%,Medium,2.1299618073114104, https://leetcode.com/problems/lru-cache
1152,Analyze User Website Visit Pattern,43.5%,Medium,1.8342239497458135, https://leetcode.com/problems/analyze-user-website-visit-pattern
23,Merge k Sorted Lists,40.2%,Hard,1.739235050219392, https://leetcode.com/problems/merge-k-sorted-lists
588,Design In-Memory File System,45.9%,Hard,1.6763233015814871, https://leetcode.com/problems/design-in-memory-file-system
1,Two Sum,45.6%,Easy,1.5089728550598949, https://leetcode.com/problems/two-sum
472,Concatenated Words,43.7%,Hard,1.4802648705378958, https://leetcode.com/problems/concatenated-words
973,K Closest Points to Origin,63.8%,Medium,1.4345467018065698, https://leetcode.com/problems/k-closest-points-to-origin
957,Prison Cells After N Days,40.7%,Medium,1.3423289104477119, https://leetcode.com/problems/prison-cells-after-n-days
460,LFU Cache,34.2%,Hard,1.1854052630535123, https://leetcode.com/problems/lfu-cache
1167,Minimum Cost to Connect Sticks,62.8%,Medium,1.1814314904899383, https://leetcode.com/problems/minimum-cost-to-connect-sticks
42,Trapping Rain Water,48.9%,Hard,1.1037585327659545, https://leetcode.com/problems/trapping-rain-water
138,Copy List with Random Pointer,36.4%,Medium,1.102640803567812, https://leetcode.com/problems/copy-list-with-random-pointer
127,Word Ladder,29.6%,Medium,1.0425997036961998, https://leetcode.com/problems/word-ladder
295,Find Median from Data Stream,44.3%,Hard,1.0194793992505597, https://leetcode.com/problems/find-median-from-data-stream
348,Design Tic-Tac-Toe,54.3%,Medium,0.9433716904768258, https://leetcode.com/problems/design-tic-tac-toe
212,Word Search II,34.9%,Hard,0.8857014706209553, https://leetcode.com/problems/word-search-ii
253,Meeting Rooms II,45.7%,Medium,0.8632775077826929, https://leetcode.com/problems/meeting-rooms-ii
21,Merge Two Sorted Lists,53.5%,Easy,0.8095181456041088, https://leetcode.com/problems/merge-two-sorted-lists
694,Number of Distinct Islands,56.0%,Medium,0.7884573603642702, https://leetcode.com/problems/number-of-distinct-islands
269,Alien Dictionary,33.3%,Hard,0.7683984542353193, https://leetcode.com/problems/alien-dictionary
273,Integer to English Words,27.1%,Hard,0.7404748586772619, https://leetcode.com/problems/integer-to-english-words
380,Insert Delete GetRandom O(1),47.5%,Medium,0.7362463730417975, https://leetcode.com/problems/insert-delete-getrandom-o1
297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.7044467358138786, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
863,All Nodes Distance K in Binary Tree,55.4%,Medium,0.6739386478106545, https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree
139,Word Break,40.1%,Medium,0.6613827480153901, https://leetcode.com/problems/word-break
2,Add Two Numbers,33.9%,Medium,0.5977271417553114, https://leetcode.com/problems/add-two-numbers
726,Number of Atoms,49.0%,Hard,0.591070740103309, https://leetcode.com/problems/number-of-atoms
909,Snakes and Ladders,38.4%,Medium,0.581062856900522, https://leetcode.com/problems/snakes-and-ladders
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.5695968683666981, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
126,Word Ladder II,22.1%,Hard,0.5693600008081126, https://leetcode.com/problems/word-ladder-ii
353,Design Snake Game,34.2%,Medium,0.5678280191954505, https://leetcode.com/problems/design-snake-game
1268,Search Suggestions System,63.2%,Medium,0.5670827306499265, https://leetcode.com/problems/search-suggestions-system
240,Search a 2D Matrix II,43.2%,Medium,0.5659839416965464, https://leetcode.com/problems/search-a-2d-matrix-ii
733,Flood Fill,55.3%,Easy,0.5434516866606699, https://leetcode.com/problems/flood-fill
49,Group Anagrams,56.9%,Medium,0.5274564521278222, https://leetcode.com/problems/group-anagrams
1429,First Unique Number,47.0%,Medium,0.5239621016713606, https://leetcode.com/problems/first-unique-number
56,Merge Intervals,39.3%,Medium,0.5198989648602567, https://leetcode.com/problems/merge-intervals
1091,Shortest Path in Binary Matrix,38.2%,Medium,0.5014571171893788, https://leetcode.com/problems/shortest-path-in-binary-matrix
15,3Sum,26.8%,Medium,0.4923847546019265, https://leetcode.com/problems/3sum
227,Basic Calculator II,36.9%,Medium,0.47707464048628756, https://leetcode.com/problems/basic-calculator-ii
815,Bus Routes,42.5%,Hard,0.46566970439379607, https://leetcode.com/problems/bus-routes
465,Optimal Account Balancing,46.9%,Hard,0.44746022914476763, https://leetcode.com/problems/optimal-account-balancing
564,Find the Closest Palindrome,19.7%,Hard,0.43712242797885603, https://leetcode.com/problems/find-the-closest-palindrome
5,Longest Palindromic Substring,29.5%,Medium,0.43711515550369573, https://leetcode.com/problems/longest-palindromic-substring
642,Design Search Autocomplete System,44.7%,Hard,0.43349242036282026, https://leetcode.com/problems/design-search-autocomplete-system
17,Letter Combinations of a Phone Number,46.8%,Medium,0.42775086183255473, https://leetcode.com/problems/letter-combinations-of-a-phone-number
403,Frog Jump,39.7%,Hard,0.42647291912626817, https://leetcode.com/problems/frog-jump
394,Decode String,50.0%,Medium,0.42186669570914975, https://leetcode.com/problems/decode-string
210,Course Schedule II,40.7%,Medium,0.4187970574421199, https://leetcode.com/problems/course-schedule-ii
239,Sliding Window Maximum,43.0%,Hard,0.4104750065235096, https://leetcode.com/problems/sliding-window-maximum
1335,Minimum Difficulty of a Job Schedule,57.6%,Hard,0.3963047387095001, https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule
317,Shortest Distance from All Buildings,41.4%,Hard,0.3879036811782171, https://leetcode.com/problems/shortest-distance-from-all-buildings
208,Implement Trie (Prefix Tree),49.4%,Medium,0.3703247851035097, https://leetcode.com/problems/implement-trie-prefix-tree
322,Coin Change,35.5%,Medium,0.3682371587377334, https://leetcode.com/problems/coin-change
572,Subtree of Another Tree,44.1%,Easy,0.36744178604609046, https://leetcode.com/problems/subtree-of-another-tree
211,Add and Search Word - Data structure design,38.1%,Medium,0.3669576767104271, https://leetcode.com/problems/add-and-search-word-data-structure-design
437,Path Sum III,47.2%,Medium,0.36415150066384533, https://leetcode.com/problems/path-sum-iii
238,Product of Array Except Self,60.1%,Medium,0.3605955735094466, https://leetcode.com/problems/product-of-array-except-self
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.3551971839535377, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
140,Word Break II,32.6%,Hard,0.35315833146615444, https://leetcode.com/problems/word-break-ii
97,Interleaving String,31.5%,Hard,0.3498263128325362, https://leetcode.com/problems/interleaving-string
173,Binary Search Tree Iterator,56.6%,Medium,0.3490586305394522, https://leetcode.com/problems/binary-search-tree-iterator
188,Best Time to Buy and Sell Stock IV,28.0%,Hard,0.3480617703158782, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv
489,Robot Room Cleaner,69.7%,Hard,0.34393738002030483, https://leetcode.com/problems/robot-room-cleaner
93,Restore IP Addresses,35.6%,Medium,0.33946177546957895, https://leetcode.com/problems/restore-ip-addresses
76,Minimum Window Substring,34.6%,Hard,0.33651688545811814, https://leetcode.com/problems/minimum-window-substring
895,Maximum Frequency Stack,60.6%,Hard,0.33520721431462625, https://leetcode.com/problems/maximum-frequency-stack
