42,Trapping Rain Water,48.9%,Hard,3.4017115728252114, https://leetcode.com/problems/trapping-rain-water
1086,High Five,79.7%,Easy,3.081613006775713, https://leetcode.com/problems/high-five
209,Minimum Size Subarray Sum,38.2%,Medium,2.761514440726214, https://leetcode.com/problems/minimum-size-subarray-sum
289,Game of Life,54.5%,Medium,2.4414158746767156, https://leetcode.com/problems/game-of-life
4,Median of Two Sorted Arrays,29.6%,Hard,2.2841074960153698, https://leetcode.com/problems/median-of-two-sorted-arrays
688,Knight Probability in Chessboard,48.9%,Medium,2.217128926271222, https://leetcode.com/problems/knight-probability-in-chessboard
387,First Unique Character in a String,53.4%,Easy,2.12805942959263, https://leetcode.com/problems/first-unique-character-in-a-string
592,Fraction Addition and Subtraction,49.0%,Medium,1.8162790864023735, https://leetcode.com/problems/fraction-addition-and-subtraction
443,String Compression,41.3%,Easy,1.7567223362906532, https://leetcode.com/problems/string-compression
862,Shortest Subarray with Sum at Least K,24.6%,Hard,1.7383767819805511, https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k
166,Fraction to Recurring Decimal,21.6%,Medium,1.719216136548627, https://leetcode.com/problems/fraction-to-recurring-decimal
722,Remove Comments,34.6%,Medium,1.6355405363367377, https://leetcode.com/problems/remove-comments
238,Product of Array Except Self,60.1%,Medium,1.5653986776487465, https://leetcode.com/problems/product-of-array-except-self
70,Climbing Stairs,47.8%,Easy,1.515339965084781, https://leetcode.com/problems/climbing-stairs
49,Group Anagrams,56.9%,Medium,1.514137260931213, https://leetcode.com/problems/group-anagrams
780,Reaching Points,29.4%,Hard,1.4774527855096036, https://leetcode.com/problems/reaching-points
706,Design HashMap,61.3%,Easy,1.4405011789563176, https://leetcode.com/problems/design-hashmap
121,Best Time to Buy and Sell Stock,50.5%,Easy,1.343547532072845, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
1041,Robot Bounded In Circle,49.6%,Medium,1.3318656536208857, https://leetcode.com/problems/robot-bounded-in-circle
1,Two Sum,45.6%,Easy,1.0889331084185998, https://leetcode.com/problems/two-sum
11,Container With Most Water,50.8%,Medium,0.8565164282104613, https://leetcode.com/problems/container-with-most-water
8,String to Integer (atoi),15.4%,Medium,0.8331114806091768, https://leetcode.com/problems/string-to-integer-atoi
657,Robot Return to Origin,73.5%,Easy,0.7562359758559519, https://leetcode.com/problems/robot-return-to-origin
1163,Last Substring in Lexicographical Order,33.9%,Hard,0.7261919753374027, https://leetcode.com/problems/last-substring-in-lexicographical-order
64,Minimum Path Sum,54.5%,Medium,0.6731263364629722, https://leetcode.com/problems/minimum-path-sum
146,LRU Cache,33.2%,Medium,0.6099535003338225, https://leetcode.com/problems/lru-cache
153,Find Minimum in Rotated Sorted Array,45.1%,Medium,0.552467601857292, https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
524,Longest Word in Dictionary through Deleting,48.4%,Medium,0.5380680817633897, https://leetcode.com/problems/longest-word-in-dictionary-through-deleting
91,Decode Ways,24.7%,Medium,0.5068067838189668, https://leetcode.com/problems/decode-ways
532,K-diff Pairs in an Array,31.6%,Easy,0.4524148616095762, https://leetcode.com/problems/k-diff-pairs-in-an-array
33,Search in Rotated Sorted Array,34.5%,Medium,0.43615506649398705, https://leetcode.com/problems/search-in-rotated-sorted-array
322,Coin Change,35.5%,Medium,0.42789160115933317, https://leetcode.com/problems/coin-change
887,Super Egg Drop,27.1%,Hard,0.37614858779077814, https://leetcode.com/problems/super-egg-drop
53,Maximum Subarray,46.5%,Easy,0.3543183348432278, https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,34.1%,Medium,0.35306273805914157, https://leetcode.com/problems/spiral-matrix
1010,Pairs of Songs With Total Durations Divisible by 60,47.4%,Easy,0.3251259020780217, https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
942,DI String Match,72.6%,Easy,0.30356511862478397, https://leetcode.com/problems/di-string-match
