ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1007,Minimum Domino Rotations For Equal Row,50.0%,Medium,2.170163308534744, https://leetcode.com/problems/minimum-domino-rotations-for-equal-row
843,Guess the Word,46.1%,Hard,2.087209390653749, https://leetcode.com/problems/guess-the-word
1153,String Transforms Into Another String,35.8%,Hard,2.004255472772754, https://leetcode.com/problems/string-transforms-into-another-string
1088,Confusing Number II,44.0%,Hard,1.921301554891759, https://leetcode.com/problems/confusing-number-ii
809,Expressive Words,47.0%,Medium,1.8887891194583846, https://leetcode.com/problems/expressive-words
1110,Delete Nodes And Return Forest,67.0%,Medium,1.8058352015773897, https://leetcode.com/problems/delete-nodes-and-return-forest
1,Two Sum,45.6%,Easy,1.7788944716412072, https://leetcode.com/problems/two-sum
659,Split Array into Consecutive Subsequences,43.7%,Medium,1.7111448912133367, https://leetcode.com/problems/split-array-into-consecutive-subsequences
727,Minimum Window Subsequence,41.8%,Hard,1.6988043776900665, https://leetcode.com/problems/minimum-window-subsequence
1170,Compare Strings by Frequency of the Smallest Character,58.7%,Easy,1.6570930192536797, https://leetcode.com/problems/compare-strings-by-frequency-of-the-smallest-character
1055,Shortest Way to Form String,56.9%,Medium,1.6487734044295008, https://leetcode.com/problems/shortest-way-to-form-string
359,Logger Rate Limiter,70.8%,Easy,1.588573586220281, https://leetcode.com/problems/logger-rate-limiter
642,Design Search Autocomplete System,44.7%,Hard,1.554654590999807, https://leetcode.com/problems/design-search-autocomplete-system
946,Validate Stack Sequences,61.9%,Medium,1.4991260114276068, https://leetcode.com/problems/validate-stack-sequences
552,Student Attendance Record II,36.7%,Hard,1.4313647525612732, https://leetcode.com/problems/student-attendance-record-ii
846,Hand of Straights,54.2%,Medium,1.3987653023923765, https://leetcode.com/problems/hand-of-straights
465,Optimal Account Balancing,46.9%,Hard,1.392711503201808, https://leetcode.com/problems/optimal-account-balancing
1231,Divide Chocolate,52.4%,Hard,1.355484603119876, https://leetcode.com/problems/divide-chocolate
363,Max Sum of Rectangle No Larger Than K,37.3%,Hard,1.2725306852388811, https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,42.1%,Medium,1.1895767673578863, https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit
410,Split Array Largest Sum,44.5%,Hard,1.1834612534147486, https://leetcode.com/problems/split-array-largest-sum
752,Open the Lock,51.8%,Medium,1.149229346636899, https://leetcode.com/problems/open-the-lock
1057,Campus Bikes,57.7%,Medium,1.1436504743393179, https://leetcode.com/problems/campus-bikes
222,Count Complete Tree Nodes,46.8%,Medium,1.136501392326842, https://leetcode.com/problems/count-complete-tree-nodes
951,Flip Equivalent Binary Trees,65.8%,Medium,1.0943095805953664, https://leetcode.com/problems/flip-equivalent-binary-trees
299,Bulls and Cows,42.4%,Easy,1.0634482260723517, https://leetcode.com/problems/bulls-and-cows
315,Count of Smaller Numbers After Self,41.5%,Hard,0.9829810845623941, https://leetcode.com/problems/count-of-smaller-numbers-after-self
679,24 Game,46.4%,Hard,0.9499298325860126, https://leetcode.com/problems/24-game
489,Robot Room Cleaner,69.7%,Hard,0.8669759147050178, https://leetcode.com/problems/robot-room-cleaner
1146,Snapshot Array,37.0%,Medium,0.8608224218366608, https://leetcode.com/problems/snapshot-array
801,Minimum Swaps To Make Sequences Increasing,38.9%,Medium,0.8257867334583089, https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing
835,Image Overlap,58.5%,Medium,0.8222042927895468, https://leetcode.com/problems/image-overlap
833,Find And Replace in String,50.4%,Medium,0.8018557437829221, https://leetcode.com/problems/find-and-replace-in-string
562,Longest Line of Consecutive One in Matrix,45.9%,Medium,0.7929366511683162, https://leetcode.com/problems/longest-line-of-consecutive-one-in-matrix
271,Encode and Decode Strings,31.5%,Medium,0.7857399673877702, https://leetcode.com/problems/encode-and-decode-strings
1074,Number of Submatrices That Sum to Target,60.4%,Hard,0.7796971965263972, https://leetcode.com/problems/number-of-submatrices-that-sum-to-target
939,Minimum Area Rectangle,51.8%,Medium,0.7758696575905972, https://leetcode.com/problems/minimum-area-rectangle
1423,Maximum Points You Can Obtain from Cards,42.6%,Medium,0.7734023603473162, https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards
1240,Tiling a Rectangle with the Fewest Squares,50.1%,Hard,0.7707054149058199, https://leetcode.com/problems/tiling-a-rectangle-with-the-fewest-squares
1048,Longest String Chain,54.7%,Medium,0.7417976896771288, https://leetcode.com/problems/longest-string-chain
1032,Stream of Characters,48.3%,Hard,0.7417736920001029, https://leetcode.com/problems/stream-of-characters
1293,Shortest Path in a Grid with Obstacles Elimination,42.8%,Hard,0.7389567165912395, https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination
1320,Minimum Distance to Type a Word Using Two Fingers,62.3%,Hard,0.7328875092094594, https://leetcode.com/problems/minimum-distance-to-type-a-word-using-two-fingers
753,Cracking the Safe,50.5%,Hard,0.705886206337375, https://leetcode.com/problems/cracking-the-safe
444,Sequence Reconstruction,22.2%,Medium,0.7030133634809992, https://leetcode.com/problems/sequence-reconstruction
221,Maximal Square,37.7%,Medium,0.6899129446271253, https://leetcode.com/problems/maximal-square
85,Maximal Rectangle,37.7%,Hard,0.677931333322692, https://leetcode.com/problems/maximal-rectangle
729,My Calendar I,51.8%,Medium,0.6562984201902302, https://leetcode.com/problems/my-calendar-i
723,Candy Crush,69.2%,Medium,0.6236493860630239, https://leetcode.com/problems/candy-crush
329,Longest Increasing Path in a Matrix,43.4%,Hard,0.6224062149541277, https://leetcode.com/problems/longest-increasing-path-in-a-matrix
844,Backspace String Compare,46.4%,Easy,0.6195280067866277, https://leetcode.com/problems/backspace-string-compare
68,Text Justification,27.7%,Hard,0.6140675688764503, https://leetcode.com/problems/text-justification
57,Insert Interval,33.5%,Hard,0.6125678482424609, https://leetcode.com/problems/insert-interval
528,Random Pick with Weight,43.9%,Medium,0.6100335190236106, https://leetcode.com/problems/random-pick-with-weight
1296,Divide Array in Sets of K Consecutive Numbers,53.8%,Medium,0.6080358611436607, https://leetcode.com/problems/divide-array-in-sets-of-k-consecutive-numbers
722,Remove Comments,34.6%,Medium,0.6080123287972728, https://leetcode.com/problems/remove-comments
362,Design Hit Counter,63.7%,Medium,0.5752838074863666, https://leetcode.com/problems/design-hit-counter
1031,Maximum Sum of Two Non-Overlapping Subarrays,57.9%,Medium,0.5684880063705432, https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays
1011,Capacity To Ship Packages Within D Days,58.1%,Medium,0.5675510434445954, https://leetcode.com/problems/capacity-to-ship-packages-within-d-days
482,License Key Formatting,43.1%,Easy,0.5650712412547398, https://leetcode.com/problems/license-key-formatting
1197,Minimum Knight Moves,36.1%,Medium,0.5616591289700842, https://leetcode.com/problems/minimum-knight-moves
346,Moving Average from Data Stream,70.9%,Easy,0.5613967323064175, https://leetcode.com/problems/moving-average-from-data-stream
394,Decode String,50.0%,Medium,0.5539181015179535, https://leetcode.com/problems/decode-string
399,Evaluate Division,51.6%,Medium,0.5332723866487983, https://leetcode.com/problems/evaluate-division
777,Swap Adjacent in LR String,34.8%,Medium,0.5236642036831771, https://leetcode.com/problems/swap-adjacent-in-lr-string
774,Minimize Max Distance to Gas Station,46.9%,Hard,0.5168226432383649, https://leetcode.com/problems/minimize-max-distance-to-gas-station
248,Strobogrammatic Number III,39.6%,Hard,0.5138062519041285, https://leetcode.com/problems/strobogrammatic-number-iii
1368,Minimum Cost to Make at Least One Valid Path in a Grid,54.3%,Hard,0.5118945709548958, https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid
1168,Optimize Water Distribution in a Village,60.9%,Hard,0.5078801135362339, https://leetcode.com/problems/optimize-water-distribution-in-a-village
1477,Find Two Non-overlapping Sub-arrays Each With Target Sum,30.0%,Medium,0.503366532914857, https://leetcode.com/problems/find-two-non-overlapping-sub-arrays-each-with-target-sum
736,Parse Lisp Expression,47.5%,Hard,0.4964368863138911, https://leetcode.com/problems/parse-lisp-expression
1060,Missing Element in Sorted Array,54.5%,Medium,0.4903986257668087, https://leetcode.com/problems/missing-element-in-sorted-array
1376,Time Needed to Inform All Employees,55.4%,Medium,0.4903935849487848, https://leetcode.com/problems/time-needed-to-inform-all-employees
837,New 21 Game,34.6%,Medium,0.49036455189465067, https://leetcode.com/problems/new-21-game
743,Network Delay Time,45.0%,Medium,0.48760195419344177, https://leetcode.com/problems/network-delay-time
792,Number of Matching Subsequences,47.4%,Medium,0.48550781578170077, https://leetcode.com/problems/number-of-matching-subsequences
1292,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,48.6%,Medium,0.48550781578170077, https://leetcode.com/problems/maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold
1145,Binary Tree Coloring Game,51.2%,Medium,0.4782742733579818, https://leetcode.com/problems/binary-tree-coloring-game
593,Valid Square,43.1%,Medium,0.4768380764760327, https://leetcode.com/problems/valid-square
298,Binary Tree Longest Consecutive Sequence,47.1%,Medium,0.4737843520856416, https://leetcode.com/problems/binary-tree-longest-consecutive-sequence
914,X of a Kind in a Deck of Cards,35.1%,Easy,0.471676336633239, https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards
1096,Brace Expansion II,62.2%,Hard,0.4700036292457356, https://leetcode.com/problems/brace-expansion-ii
815,Bus Routes,42.5%,Hard,0.46566970439379607, https://leetcode.com/problems/bus-routes
1136,Parallel Courses,61.1%,Hard,0.462623521948113, https://leetcode.com/problems/parallel-courses
295,Find Median from Data Stream,44.3%,Hard,0.4564947142490323, https://leetcode.com/problems/find-median-from-data-stream
767,Reorganize String,48.7%,Medium,0.44826640089141645, https://leetcode.com/problems/reorganize-string
76,Minimum Window Substring,34.6%,Hard,0.4473429600795586, https://leetcode.com/problems/minimum-window-substring
818,Race Car,39.0%,Hard,0.42977569760878054, https://leetcode.com/problems/race-car
337,House Robber III,50.6%,Medium,0.42151129766951334, https://leetcode.com/problems/house-robber-iii
862,Shortest Subarray with Sum at Least K,24.6%,Hard,0.41930247631269885, https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k
1219,Path with Maximum Gold,65.1%,Medium,0.41486465511966875, https://leetcode.com/problems/path-with-maximum-gold
652,Find Duplicate Subtrees,50.2%,Medium,0.4102843945441133, https://leetcode.com/problems/find-duplicate-subtrees
471,Encode String with Shortest Length,47.1%,Hard,0.4096756406445079, https://leetcode.com/problems/encode-string-with-shortest-length
1087,Brace Expansion,62.7%,Medium,0.4065094946260706, https://leetcode.com/problems/brace-expansion
1284,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,69.5%,Hard,0.39465419200394874, https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix
296,Best Meeting Point,57.5%,Hard,0.388507095744267, https://leetcode.com/problems/best-meeting-point
560,Subarray Sum Equals K,43.9%,Medium,0.38717950259834166, https://leetcode.com/problems/subarray-sum-equals-k
681,Next Closest Time,45.0%,Medium,0.38234521244058434, https://leetcode.com/problems/next-closest-time
253,Meeting Rooms II,45.7%,Medium,0.37589684188619144, https://leetcode.com/problems/meeting-rooms-ii
53,Maximum Subarray,46.5%,Easy,0.37577757790839306, https://leetcode.com/problems/maximum-subarray
889,Construct Binary Tree from Preorder and Postorder Traversal,66.2%,Medium,0.3731218633879398, https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal
430,Flatten a Multilevel Doubly Linked List,55.1%,Medium,0.3702096582803022, https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list
