759,Employee Free Time,66.3%,Hard,0.44281471346220724, https://leetcode.com/problems/employee-free-time
811,Subdomain Visit Count,69.9%,Easy,0.2959053713504005, https://leetcode.com/problems/subdomain-visit-count
362,Design Hit Counter,63.7%,Medium,0.1489960292385938, https://leetcode.com/problems/design-hit-counter
277,Find the Celebrity,41.8%,Medium,0.11383991212794757, https://leetcode.com/problems/find-the-celebrity
68,Text Justification,27.7%,Hard,0.10627110304957266, https://leetcode.com/problems/text-justification
698,Partition to K Equal Sum Subsets,45.0%,Medium,0.02109782896463587, https://leetcode.com/problems/partition-to-k-equal-sum-subsets
269,Alien Dictionary,33.3%,Hard,0.012730916694039954, https://leetcode.com/problems/alien-dictionary
986,Interval List Intersections,67.3%,Medium,0.011969023795320735, https://leetcode.com/problems/interval-list-intersections
79,Word Search,35.6%,Medium,0.003741741363018696, https://leetcode.com/problems/word-search
621,Task Scheduler,50.1%,Medium,0.002341784338144407, https://leetcode.com/problems/task-scheduler
