1189,Maximum Number of Balloons,61.2%,Easy,0.10316224371942753, https://leetcode.com/problems/maximum-number-of-balloons
1239,Maximum Length of a Concatenated String with Unique Characters,47.8%,Medium,0.0766985653316095, https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters
146,LRU Cache,33.2%,Medium,0.054946555458745445, https://leetcode.com/problems/lru-cache
724,Find Pivot Index,44.0%,Easy,0.05428741283782842, https://leetcode.com/problems/find-pivot-index
20,Valid Parentheses,39.0%,Easy,0.02782373445001039, https://leetcode.com/problems/valid-parentheses
41,First Missing Positive,32.0%,Hard,0.02540222313806603, https://leetcode.com/problems/first-missing-positive
728,Self Dividing Numbers,74.3%,Easy,0.024662162384069, https://leetcode.com/problems/self-dividing-numbers
127,Word Ladder,29.6%,Medium,0.013403030127340374, https://leetcode.com/problems/word-ladder
767,Reorganize String,48.7%,Medium,0.01329806830463147, https://leetcode.com/problems/reorganize-string
273,Integer to English Words,27.1%,Hard,0.012081089250339716, https://leetcode.com/problems/integer-to-english-words
49,Group Anagrams,56.9%,Medium,0.008538951314232168, https://leetcode.com/problems/group-anagrams
33,Search in Rotated Sorted Array,34.5%,Medium,0.003229976968332634, https://leetcode.com/problems/search-in-rotated-sorted-array
283,Move Zeroes,57.8%,Easy,0.0028853803470673955, https://leetcode.com/problems/move-zeroes
