547,Friend Circles,58.6%,Medium,2.779485180300092, https://leetcode.com/problems/friend-circles
1048,Longest String Chain,54.7%,Medium,2.0101066512808607, https://leetcode.com/problems/longest-string-chain
918,Maximum Sum Circular Subarray,33.7%,Medium,1.200561419408042, https://leetcode.com/problems/maximum-sum-circular-subarray
123,Best Time to Buy and Sell Stock III,37.5%,Hard,0.3910161875352235, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii
146,LRU Cache,33.2%,Medium,0.3479336801402196, https://leetcode.com/problems/lru-cache
710,Random Pick with Blacklist,32.5%,Hard,0.3161972427598021, https://leetcode.com/problems/random-pick-with-blacklist
528,Random Pick with Weight,43.9%,Medium,0.12617342152539626, https://leetcode.com/problems/random-pick-with-weight
380,Insert Delete GetRandom O(1),47.5%,Medium,0.11413023913109475, https://leetcode.com/problems/insert-delete-getrandom-o1
44,Wildcard Matching,24.7%,Hard,0.053722215229247965, https://leetcode.com/problems/wildcard-matching
1163,Last Substring in Lexicographical Order,33.9%,Hard,0.05135916837064474, https://leetcode.com/problems/last-substring-in-lexicographical-order
53,Maximum Subarray,46.5%,Easy,0.019336728821707075, https://leetcode.com/problems/maximum-subarray
384,Shuffle an Array,52.8%,Medium,0.015250009609723824, https://leetcode.com/problems/shuffle-an-array
221,Maximal Square,37.7%,Medium,0.00988638798855515, https://leetcode.com/problems/maximal-square
56,Merge Intervals,39.3%,Medium,0.007796972706004796, https://leetcode.com/problems/merge-intervals
4,Median of Two Sorted Arrays,29.6%,Hard,0.003900160950094767, https://leetcode.com/problems/median-of-two-sorted-arrays
