547,Friend Circles,58.6%,Medium,3.4457325845151185, https://leetcode.com/problems/friend-circles
1048,Longest String Chain,54.7%,Medium,2.6183158453084423, https://leetcode.com/problems/longest-string-chain
918,Maximum Sum Circular Subarray,33.7%,Medium,1.7908991061017663, https://leetcode.com/problems/maximum-sum-circular-subarray
146,LRU Cache,33.2%,Medium,1.0128053210090022, https://leetcode.com/problems/lru-cache
123,Best Time to Buy and Sell Stock III,37.5%,Hard,0.8103008499673461, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii
44,Wildcard Matching,24.7%,Hard,0.8088199846507318, https://leetcode.com/problems/wildcard-matching
342,Power of Four,41.6%,Easy,0.5106053351870626, https://leetcode.com/problems/power-of-four
528,Random Pick with Weight,43.9%,Medium,0.37294088733187064, https://leetcode.com/problems/random-pick-with-weight
380,Insert Delete GetRandom O(1),47.5%,Medium,0.348524374235988, https://leetcode.com/problems/insert-delete-getrandom-o1
710,Random Pick with Blacklist,32.5%,Hard,0.3161972427598021, https://leetcode.com/problems/random-pick-with-blacklist
289,Game of Life,54.5%,Medium,0.2465460268751668, https://leetcode.com/problems/game-of-life
1163,Last Substring in Lexicographical Order,33.9%,Hard,0.11205740891571739, https://leetcode.com/problems/last-substring-in-lexicographical-order
4,Median of Two Sorted Arrays,29.6%,Hard,0.09321199094445486, https://leetcode.com/problems/median-of-two-sorted-arrays
53,Maximum Subarray,46.5%,Easy,0.04299340685592046, https://leetcode.com/problems/maximum-subarray
56,Merge Intervals,39.3%,Medium,0.02150990613527447, https://leetcode.com/problems/merge-intervals
384,Shuffle an Array,52.8%,Medium,0.015250009609723824, https://leetcode.com/problems/shuffle-an-array
221,Maximal Square,37.7%,Medium,0.00988638798855515, https://leetcode.com/problems/maximal-square
349,Intersection of Two Arrays,62.5%,Easy,0.00725034896230682, https://leetcode.com/problems/intersection-of-two-arrays
1186,Maximum Subarray Sum with One Deletion,37.5%,Medium,0, https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion
